Created with UCDetector 1.10.0	2015-10-10 23:00:26	http://www.ucdetector.org/	
Location	Description	Java	Marker	Author
bots.TrackMovement.<init>(TrackMovement.java:19)	Change visibility of Class "TrackMovement" to default - May cause compile errors!	TrackMovement	org.ucdetector.analyzeMarkerVisibilityDefault	b
bots.TrackMovement.TrackMovement(TrackMovement.java:27)	Change visibility of Constructor "TrackMovement.TrackMovement(Player)" to default	TrackMovement.TrackMovement(Player)	org.ucdetector.analyzeMarkerVisibilityDefault	b
bots.TrackMovement.shouldGiveup(TrackMovement.java:55)	Change visibility of Method "TrackMovement.shouldGiveup(GameState)" to default	TrackMovement.shouldGiveup(GameState)	org.ucdetector.analyzeMarkerVisibilityDefault	b
bots.Rover.rotate(Rover.java:122)	Change visibility of Method "Rover.rotate()" to default	Rover.rotate()	org.ucdetector.analyzeMarkerVisibilityDefault	b
bots.MoveStrategy.<init>(MoveStrategy.java:13)	Change visibility of Interface "MoveStrategy" to default - May cause compile errors!	MoveStrategy	org.ucdetector.analyzeMarkerVisibilityDefault	
bots.ShortestPathMover.validMove(ShortestPathMover.java:47)	Change visibility of Method "ShortestPathMover.validMove(Rover,Square[][],Direction)" to private	ShortestPathMover.validMove(Rover,Square[][],Direction)	org.ucdetector.analyzeMarkerVisibilityPrivate	b
bots.RoamMovement.<init>(RoamMovement.java:20)	Change visibility of Class "RoamMovement" to default - May cause compile errors!	RoamMovement	org.ucdetector.analyzeMarkerVisibilityDefault	b
bots.RoamMovement.validMove(RoamMovement.java:55)	Change visibility of Method "RoamMovement.validMove(GameState,Rover,Direction)" to private	RoamMovement.validMove(GameState,Rover,Direction)	org.ucdetector.analyzeMarkerVisibilityPrivate	b
bots.RoamMovement.viewTarget(RoamMovement.java:72)	Change visibility of Method "RoamMovement.viewTarget(Square[][])" to default	RoamMovement.viewTarget(Square[][])	org.ucdetector.analyzeMarkerVisibilityDefault	b
